titulo,artista,album,duracion,popularidad
Superpower (feat. Frank Ocean),Beyoncé,BEYONCÉ,276,14
It's Not Over,Daughtry,Daughtry,215,13
Voice of Truth,Casting Crowns,Casting Crowns,323,10
You & I,One Direction,Midnight Memories (Deluxe Edition),237,18
Heaven,Beyoncé,BEYONCÉ,230,14
See You Again,Carrie Underwood,Blown Away,247,14
Dirty Diana,Michael Jackson,The Essential Michael Jackson,282,17
Blow,Beyoncé,BEYONCÉ,309,14
Jealous,Beyoncé,BEYONCÉ,184,14
Love Like Woe,The Ready Set,"I'm Alive, I'm Dreaming (Deluxe Version)",200,11
Damaged,Danity Kane,Welcome to the Dollhouse,239,16
Barefoot Blue Jean Night,Jake Owen,Barefoot Blue Jean Night,169,11
Rocket,Beyoncé,BEYONCÉ,391,14
I Want to Know What Love Is,Foreigner,No End In Sight: The Very Best of Foreigner (Remastered),301,32
Blue (feat. Blue Ivy),Beyoncé,BEYONCÉ,266,14
Picture (feat. Sheryl Crow),Kid Rock,Cocky,298,14
Haunted,Beyoncé,BEYONCÉ,369,14
Half of My Heart,John Mayer,Battle Studies (Deluxe Version),250,12
Afterlife,Avenged Sevenfold,Avenged Sevenfold (Bonus Track Version),352,11
Gypsy,Fleetwood Mac,Greatest Hits,264,16
A Country Boy Can Survive,"Hank Williams, Jr.","Hank Williams, Jr.'s Greatest Hits, Vol. 1",255,10
Sound of Madness,Shinedown,The Sound of Madness (Bonus Track Version),233,14
A Horse With No Name,America,America's Greatest Hits: History,252,12
Animals,Nickelback,All the Right Reasons,186,11
Just a Dream,Carrie Underwood,Carnival Ride,287,13
Hotel California,Eagles,Hotel California,391,9
Little Things,One Direction,Take Me Home (Yearbook Edition),219,17
Beam Me Up,P!nk,The Truth About Love,267,15
Brokenhearted,Karmin,Hello,227,8
Only God Knows Why,Kid Rock,Devil Without a Cause,327,14
Something In Your Mouth,Nickelback,Dark Horse,219,11
Please Don't Go,Mike Posner,31 Minutes to Takeoff,196,12
Titanium (feat. Sia),David Guetta,Nothing But the Beat,245,14
We Didn't Start the Fire,Billy Joel,The Essential Billy Joel,291,18
Jumper,Third Eye Blind,A Collection (Remastered),273,21
I Hate Myself for Loving You,Joan Jett & The Blackhearts,Up Your Alley,246,11
Bad,Michael Jackson,The Essential Michael Jackson,246,17
In the End,LINKIN PARK,Hybrid Theory,216,12
Last Name,Carrie Underwood,Carnival Ride,242,13
Young Girls,Bruno Mars,Unorthodox Jukebox,229,10
Two Black Cadillacs,Carrie Underwood,Blown Away,298,14
Hells Bells,AC/DC,Back In Black,312,10
Who's Crying Now,Journey,Greatest Hits (2024 Remaster),301,16
Human,Christina Perri,Head or Heart,250,12
Ask the Lonely (2024 Remaster),Journey,Greatest Hits (2024 Remaster),234,16
Untouched,The Veronicas,Hook Me Up,255,13
Fly,Sugar Ray & Super Cat,The Best of Sugar Ray,292,15
Be Good to Yourself (2024 Remaster),Journey,Greatest Hits (2024 Remaster),232,16
Feels Like the First Time,Foreigner,No End In Sight: The Very Best of Foreigner (Remastered),232,32
You and Tequila (feat. Grace Potter),Kenny Chesney,Hemingway's Whiskey (Deluxe Edition),242,13
Girl Can't Help It (2024 Remaster),Journey,Greatest Hits (2024 Remaster),231,16
Tongue Tied,GROUPLOVE,Tongue Tied - Single,218,1
Eenie Meenie,Sean Kingston & Justin Bieber,Eenie Meenie - Single,201,1
Mine (feat. Drake),Beyoncé,BEYONCÉ,378,14
Black or White,Michael Jackson,The Essential Michael Jackson,256,17
Float On,Modest Mouse,Good News for People Who Love Bad News,208,16
Let Her Cry,Hootie & The Blowfish,The Best of Hootie & The Blowfish (1993-2003),318,17
Half a Heart,One Direction,Midnight Memories (Deluxe Edition),188,18
One Step At a Time,Jordin Sparks,Jordin Sparks,205,13
I'll Be Alright Without You (2024 Remaster),Journey,Greatest Hits (2024 Remaster),274,16
For the First Time,The Script,Science & Faith (Bonus Track Version),252,12
Never Gonna Be Alone,Nickelback,Dark Horse,227,11
Christmas / Sarajevo 12/24 (Instrumental),Trans-Siberian Orchestra,Christmas Eve and Other Stories,205,17
How You Remind Me,Nickelback,Silver Side Up,223,10
Eye of the Tiger,Survivor,Eye of the Tiger (Remastered),243,9
Mr. Know It All,Kelly Clarkson,Stronger (Deluxe Version),232,18
Pretty Hurts,Beyoncé,BEYONCÉ,257,14
Are You Gonna Be My Girl,Jet,Rock Revival,213,18
Headstrong,Trapt,Trapt,286,11
Do I Wanna Know?,Arctic Monkeys,AM,272,12
If You Only Knew,Shinedown,The Sound of Madness (Bonus Track Version),226,14
Gorilla,Bruno Mars,Unorthodox Jukebox,244,10
Time to Pretend,MGMT,Time to Pretend - SOTW,261,1
Heartbreak Warfare,John Mayer,Battle Studies (Deluxe Version),269,12
Undo It,Carrie Underwood,Play On,178,13
If Everyone Cared,Nickelback,All the Right Reasons,217,11
Send Her My Love (2024 Remaster),Journey,Greatest Hits (2024 Remaster),234,16
Tattoo,Jordin Sparks,Tattoo - Single,232,1
BURN IT DOWN,LINKIN PARK,LIVING THINGS,230,12
When You Love a Woman (2024 Remaster),Journey,Greatest Hits (2024 Remaster),248,16
Blame It (feat. T-Pain),Jamie Foxx,Intuition,289,16
Good Girl,Carrie Underwood,Blown Away,205,14
Enter Sandman,Metallica,Metallica,331,12
Please Don't Leave Me,P!nk,Funhouse (Deluxe Version),231,14
Black Betty,Ram Jam,The Very Best of Ram Jam,237,20
Already Gone,Kelly Clarkson,All I Ever Wanted (Deluxe Version),281,16
***Flawless (feat. Chimamanda Ngozi Adichie),Beyoncé,BEYONCÉ,250,14
Still Into You,Paramore,Paramore,216,17
Only the Young (2024 Remaster),Journey,Greatest Hits (2024 Remaster),244,16
Best Days of Your Life,Kellie Pickler,Kellie Pickler (Deluxe Version),226,13
Ain't It Fun,Paramore,Paramore,296,17
All Summer Long,Kid Rock,Rock N Roll Jesus,296,12
Cherry Pie,Warrant,Cherry Pie (Bonus Track Version),201,14
Wiggle (feat. Snoop Dogg),Jason Derulo,Talk Dirty,193,10
XO,Beyoncé,BEYONCÉ,215,14
Gravity,John Mayer,Continuum,245,12
Somewhere With You,Kenny Chesney,Hemingway's Whiskey (Deluxe Edition),243,13
Cowboy Casanova,Carrie Underwood,Play On,235,13
Come With Me Now,KONGOS,Lunatic,211,12
Iris,The Goo Goo Dolls,"Greatest Hits, Vol. One: The Singles",289,14
The Final Countdown,Europe,The Final Countdown (Expanded Edition),310,13
Fast Car,Tracy Chapman,Tracy Chapman,296,11
Rock Your Body,Justin Timberlake,Justified,267,13
Electric Feel,MGMT,Electric Feel - SOTW,229,1
Trumpets,Jason Derulo,Talk Dirty,217,10
This Afternoon,Nickelback,Dark Horse,273,11
Blow Me (One Last Kiss),P!nk,The Truth About Love,256,15
"Sweetest Girl (Dollar Bill) [feat. Akon, Lil Wayne & Niia]",Wyclef Jean,"Carnival, Vol. II: Memoirs of an Immigrant (Deluxe Edition)",239,20
In Love With a Girl,Gavin DeGraw,Gavin DeGraw,206,12
Harlem Shake,Baauer,Harlem Shake - Single,196,1
P.Y.T. (Pretty Young Thing),Michael Jackson,The Essential Michael Jackson,239,21
F*kin' Perfect,P!nk,F*kin' Perfect (Perfect) - Single,213,1
All-American Girl,Carrie Underwood,Carnival Ride,213,13
Magic,Coldplay,Ghost Stories,285,9
The Way You Make Me Feel (Single Version),Michael Jackson,The Essential Michael Jackson,267,17
Before He Cheats,Carrie Underwood,Some Hearts,199,14
Thunderstruck,AC/DC,The Razors Edge,292,12
One Thing,One Direction,Up All Night (Deluxe Version),197,15
That's Not My Name,The Ting Tings,We Started Nothing,310,10
Beat It (Single Version),Michael Jackson,The Essential Michael Jackson,259,21
Killing In the Name,Rage Against the Machine,Rage Against the Machine,313,10
Piano Man,Billy Joel,The Essential Billy Joel,339,18
Drops of Jupiter (Tell Me),Train,Drops of Jupiter,259,11
You're Beautiful,James Blunt,Back to Bedlam,212,11
The Fox (What Does the Fox Say?),Ylvis,The Fox (What Does the Fox Say?) - Single,213,1
Sober,P!nk,Funhouse (Deluxe Version),251,14
"Lovin', Touchin', Squeezin' (2024 Remaster)",Journey,Greatest Hits (2024 Remaster),232,16
Midnight Memories,One Direction,Midnight Memories (Deluxe Edition),176,18
Temperature,Sean Paul,The Trinity,218,18
Smooth Criminal,Michael Jackson,The Essential Michael Jackson,258,17
A Sky Full of Stars,Coldplay,Ghost Stories,268,9
You Shook Me All Night Long,AC/DC,Back In Black,210,10
Partition,Beyoncé,BEYONCÉ,319,14
Photograph,Nickelback,All the Right Reasons,258,11
Never Too Late,Three Days Grace,One-X (Deluxe Edition),209,13
Rock With You (Single Version),Michael Jackson,The Essential Michael Jackson,204,21
Thriller (2003 Edit),Michael Jackson,The Essential Michael Jackson,312,21
Far Away,Nickelback,All the Right Reasons,238,11
Wheel In the Sky (2024 Remaster),Journey,Greatest Hits (2024 Remaster),254,16
21 Guns,Green Day,21st Century Breakdown (Deluxe Edition),322,20
Billie Jean (Single Version),Michael Jackson,The Essential Michael Jackson,294,21
Better In Time,Leona Lewis,Spirit (Deluxe Version),234,15
Kids,MGMT,Oracular Spectacular,302,10
F**k You,CeeLo Green,Fuck You - Deluxe Single,222,2
Back In Black,AC/DC,Back In Black,256,10
Hall of Fame (feat. will.i.am),The Script,#3 (Deluxe Version),202,17
Skyfall,Adele,Skyfall - Single,286,1
The Sound of Silence,Disturbed,Immortalized (Deluxe Edition),248,16
Smile,Uncle Kracker,Happy Hour (Deluxe Version),201,15
Carry On Wayward Son,Kansas,The Best of Kansas,321,12
Separate Ways (Worlds Apart) [2024 Remaster],Journey,Greatest Hits (2024 Remaster),326,16
Shake It,Metro Station,Metro Station,179,10
Waiting On the World to Change,John Mayer,Continuum,200,12
"Club Can't Handle Me (feat. David Guetta) [From ""Step Up 3D""]",Flo Rida,Club Can't Handle Me - Single,232,2
Man In the Mirror,Michael Jackson,The Essential Michael Jackson,320,17
Sorry,Buckcherry,15,226,11
Ridin' Solo,Jason Derulo,Jason Derulo,215,10
Lucky,Jason Mraz & Colbie Caillat,We Sing. We Dance. We Steal Things,189,12
Gotta Be Somebody,Nickelback,Dark Horse,240,11
Breakeven (Falling to Pieces),The Script,The Script (Deluxe),261,11
I Write Sins Not Tragedies,Panic! At the Disco,A Fever You Can't Sweat Out,186,13
Open Arms (2024 Remaster),Journey,Greatest Hits (2024 Remaster),199,16
Treasure,Bruno Mars,Unorthodox Jukebox,178,10
Drunk in Love (feat. Jay Z),Beyoncé,BEYONCÉ,323,14
Blown Away,Carrie Underwood,Blown Away,240,14
Life After You,Daughtry,Leave This Town (Bonus Track Version),206,14
Any Way You Want It (2024 Remaster),Journey,Greatest Hits (2024 Remaster),203,16
No Air,Jordin Sparks & Chris Brown,Jordin Sparks,264,13
Forget You,CeeLo Green,Fuck You - Deluxe Single,222,2
If Today Was Your Last Day,Nickelback,Dark Horse,249,11
Savin' Me,Nickelback,All the Right Reasons,219,11
Dreams,Fleetwood Mac,Greatest Hits,254,16
Chop Suey!,System Of A Down,Toxicity,210,15
Try,P!nk,The Truth About Love,247,15
Don't Stop 'Til You Get Enough,Michael Jackson,The Essential Michael Jackson,364,21
Faithfully (2024 Remaster),Journey,Greatest Hits (2024 Remaster),266,16
My Life Would Suck Without You,Kelly Clarkson,My Life Would Suck Without You - Single,211,1
Say Something,A Great Big World & Christina Aguilera,Is There Anybody Out There?,229,12
Say,John Mayer,Say - Single,230,1
Crazy Bitch,Buckcherry,15,202,11
Bad Day,Daniel Powter,Daniel Powter,233,10
Love Song,Sara Bareilles,Little Voice,258,12
Replay,Iyaz,Replay - Single,182,1
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word (Deluxe Version),240,18
Burn It to the Ground,Nickelback,Dark Horse,212,11
Story of My Life,One Direction,Midnight Memories (Deluxe Edition),245,18
Take Me to Church,Hozier,Hozier (Expanded Edition),241,15
Second Chance,Shinedown,The Sound of Madness (Bonus Track Version),222,14
Bleeding Love,Leona Lewis,Bleeding Love - Single,262,1
Not Over You,Gavin DeGraw,Sweeter,218,10
Lights (2024 Remaster),Journey,Greatest Hits (2024 Remaster),190,16
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),221,18
Locked Out of Heaven,Bruno Mars,Unorthodox Jukebox,233,10
What Makes You Beautiful,One Direction,Up All Night (Deluxe Version),199,15
Sail,AWOLNATION,Megalithic Symphony,259,15
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,213,10
Pumped Up Kicks,Foster the People,Torches,239,11
Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love,242,15
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things,242,12
Rockstar,Nickelback,All the Right Reasons,255,11
Don't Stop Believin' (2024 Remaster),Journey,Greatest Hits (2024 Remaster),250,16
